review_id,product_name,user_rating,review_text
rev_001,Apple iPhone 14 Pro,5,"Absolutely stunning display and camera! Worth every rupee."
rev_002,Apple iPhone 13 mini,4,"Compact and powerful, but battery life could be better."
rev_003,Samsung Galaxy S25 Ultra,5,"Phenomenal camera quality and smooth performance."
rev_004,Samsung Galaxy A55,3,"Good budget phone but slightly overpriced."
rev_005,Google Pixel 8Pro,5,"Best camera experience in Android segment!"
rev_006,OnePlus Nord 4,4,"Great performance for the price, smooth UI."
rev_007,Redmi Note 13 Pro,4,"Excellent display and battery backup for mid-range."
rev_008,Realme GT Neo6,3,"Fast phone but gets warm during gaming."
rev_009,Sony Xperia 1V,4,"Beautiful screen, but battery life is average."
rev_010,Asus ROG Phone8,5,"An absolute beast for gamers! RGB lighting is dope."
rev_011,Dell XPS15,5,"Premium laptop experience, very sleek and fast."
rev_012,Apple Macbook Air M2,5,"Best laptop for daily work, battery is amazing."
rev_013,HP Spectre x360 Laptop,4,"Looks stunning, great performance, slight heating issue."
rev_014,Lenovo ThinkPad X1 Carbon,5,"Business-class excellence, keyboard feels perfect."
rev_015,Acer Swift-3 Laptop,4,"Good value for money, lightweight and durable."
rev_016,Asus ZenBook14,5,"Incredible design and sharp display."
rev_017,Microsoft Surface Laptop5,4,"Very responsive but lacks enough ports."
rev_018,Razer Blade-15 Gaming Laptop,5,"Top-tier gaming machine, pricey but powerful."
rev_019,Bose QC45 Headphones,5,"Noise cancellation is unmatched! Comfortable fit."
rev_020,Sony WH1000XM5,5,"Industry-leading ANC, worth it!"
rev_021,JBL Live660NC,4,"Bass is good, app could be improved."
rev_022,Sennheiser Momentum Four,5,"Rich sound quality and superb comfort."
rev_023,Anker Soundcore Life A3i,3,"Affordable but not very durable."
rev_024,Apple Airpods Pro 2nd Gen,5,"Crystal clear sound and perfect integration with iPhone."
rev_025,Apple Watch Series 9,5,"Beautiful display, fast charging, and smooth watchOS."
rev_026,Samsung Galaxy Watch-6,4,"Good battery and health tracking."
rev_027,Fitbit Versa IV,3,"Good features but step count not always accurate."
rev_028,Garmin Forerunner 265,4,"Great for runners, GPS is super accurate."
rev_029,Nintendo Switch OLED,5,"Perfect console for casual gaming, great portability."
rev_030,Sony Play Station 5,5,"Insane graphics and gameplay speed!"
rev_031,Microsoft Xbox X Series,5,"Top performance, GamePass is awesome."
rev_032,JBL Charge5 Speaker,4,"Clear audio, good bass, battery could last longer."
rev_033,Sony SRS-XB33,4,"Portable and loud, perfect for travel."
rev_034,Bose Home Speaker-500,5,"Excellent clarity and Alexa integration."
rev_035,Anker Flare2 Speaker,4,"Good sound and value for money."
rev_036,Apple iPad Air (5th Gen),4,"Very responsive and bright display."
rev_037,Samsung Galaxy Tab-S9,4,"Excellent for multimedia, battery life decent."
rev_038,Lenovo Tab P11-Pro,3,"Average performance, good display though."
rev_039,Sony Alpha A7IV,5,"Professional-grade image quality!"
rev_040,Canon EOS R6II,5,"Superb autofocus and sharp output."
rev_041,Nikon Z6-2,4,"Performs well in low light, but a bit heavy."
rev_042,Logitech MX Master3,5,"Perfect ergonomic mouse for productivity."
rev_043,Logitech G502 HERO,5,"Best mouse for FPS games!"
rev_044,Samsung T7 Shield SSD,4,"Fast and compact, a bit expensive."
rev_045,WD Blue SSD,4,"Good speeds and reliable performance."
rev_046,Seagate Backup Plus 4TB,3,"Decent but slightly noisy."
rev_047,TP-Link AX73 Router,5,"Strong WiFi coverage and easy setup."
rev_048,Netgear Nighthawk RAX50,5,"Blazing fast internet speed!"
rev_049,Apple MagSafe Battery Pack,3,"Works well but capacity feels low."
rev_050,Anker Powercore 26800,4,"Massive battery, charges fast."
rev_051,Asus ProArt Monitor,5,"Color accuracy is insane for designers."
rev_052,Samsung Odyssey G7,5,"144Hz and curved display feels immersive."
rev_053,LG UltraFine 27,4,"Sharp and bright, good for Mac users."
rev_054,Google Nest Audio,5,"Crystal clear sound for small rooms."
rev_055,Roku Stick 4K,4,"Smooth streaming, easy to set up."
rev_056,Canon EOS 90D DSLR,5,"Reliable camera for photography enthusiasts."
rev_057,Sony ZV-E10,5,"Perfect for vlogging, excellent autofocus."
rev_058,HyperX Cloud-II Headset,4,"Very comfortable and great mic."
rev_059,Beats Studio 3 Wireless,4,"Strong bass but a bit heavy."
rev_060,Ring Video Doorbell 4,5,"Easy to install, video quality great."
rev_061,Samsung Galaxy Fold5,5,"Amazing folding display! Truly futuristic."  
rev_062,Xiaomi Poco F6,4,"Affordable and surprisingly fast."
rev_063,Asus Vivobook Go14,3,"Average laptop for students."
rev_064,Boat Stone 1200 Speaker,4,"Good budget speaker for parties."
rev_065,Samsung Frame TV 55",5,"Looks gorgeous on wall and great quality."
rev_066,Apple Vision Pro,5,"Mind-blowing AR experience!"
rev_067,Sony Bravia X90L,5,"Fantastic 4K display and vibrant colors."
rev_068,Dell Inspiron 14,4,"Solid mid-range laptop for office use."
rev_069,Noise ColorFit Pro 5,3,"Budget smartwatch with decent features."
rev_070,JBL Tune 520BT,4,"Decent sound quality for the price."
